id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,data_coleta
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,92539.0,1855767367695,1,1855767367695,43482787315,94038.0,91763.0,-1387.0811369413714,-1.47678,-19219269149.819824,-1.02503,19960278.0,19960278.0,21000000.0,126080.0,-26.25851,2025-10-06T18:57:42.558Z,67.81,137010.39915,2013-07-06T00:00:00.000Z,0,2025-12-10T18:43:00.591Z,2025-12-10 15:43:42
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3396.62,412826232127,2,412826232127,27691280489,3419.85,3291.61,17.09,0.50581,4869686135.0,1.19368,120695212.9370718,120695212.9370718,0.0,4946.05,-30.84889,2025-08-24T19:21:03.333Z,0.432979,789833.99308,2015-10-20T00:00:00.000Z,"{'times': 48.054379478108565, 'currency': 'btc', 'percentage': 4805.437947810857}",2025-12-10T18:43:00.683Z,2025-12-10 15:43:42
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,186070743765,3,191538217994,76603763283,1.0,0.999999,-2.537079019094e-06,-0.00025,344492681.0,0.18548,186052440682.4471,191519377096.0562,0.0,1.32,-24.41275,2018-07-24T00:00:00.000Z,0.572521,74.68204,2015-03-02T00:00:00.000Z,0,2025-12-10T18:43:06.366Z,2025-12-10 15:43:42
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.07,125415920510,4,207847925286,3315171188,2.15,2.06,-0.07762150064121354,-3.60672,-4549786375.415619,-3.50076,60331635327.0,99985752852.0,100000000000.0,3.65,-43.00163,2025-07-18T03:40:53.808Z,0.00268621,77272.16074,2014-05-22T00:00:00.000Z,0,2025-12-10T18:43:04.832Z,2025-12-10 15:43:42
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,898.47,123981728200,5,123981728200,1697189647,918.19,884.88,-19.719043324618838,-2.1476,-2457039290.381546,-1.94326,137735687.65,137735686.02,200000000.0,1369.99,-34.20815,2025-10-13T08:41:24.131Z,0.0398177,2263573.75747,2017-10-19T00:00:00.000Z,0,2025-12-10T18:43:00.929Z,2025-12-10 15:43:42
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999861,78277781828,6,78387271824,11591924530,1.0,0.999704,-3.9644478946665e-05,-0.00396,96129706.0,0.12296,78284308711.26347,78393807836.54149,0.0,1.17,-14.69804,2019-05-08T00:40:28.300Z,0.877647,13.97997,2023-03-11T08:02:13.981Z,0,2025-12-10T18:43:06.854Z,2025-12-10 15:43:42
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,138.35,77348816038,7,84829858398,5523464123,142.58,136.06,-4.059729560849917,-2.85069,-2797795168.9119415,-3.49085,561584318.5057822,615899772.7068553,0.0,293.31,-52.75509,2025-01-19T11:15:27.957Z,0.500801,27570.65491,2020-05-11T19:35:23.449Z,0,2025-12-10T18:43:05.179Z,2025-12-10 15:43:42
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3404.92,29561831615,8,29562231047,42938533,3399.78,3291.27,25.79,0.7633,67910730.0,0.23025,8723797.992731668,8723915.866501492,0.0,4932.89,-30.79972,2025-08-24T19:21:31.902Z,482.9,606.89651,2020-12-22T04:08:21.854Z,0,2025-12-10T18:43:05.035Z,2025-12-10 15:43:42
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.277759,26297204766,9,26297204770,601827970,0.283423,0.277033,-0.004058585292504746,-1.44015,-390090257.5870323,-1.46171,94681230932.4822,94681230944.81049,0.0,0.431288,-35.61151,2024-12-04T00:10:40.323Z,0.00180434,15290.65796,2017-11-12T00:00:00.000Z,"{'times': 145.188731647289, 'currency': 'usd', 'percentage': 14518.8731647289}",2025-12-10T18:43:06.297Z,2025-12-10 15:43:42
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.14751,22488692276,10,22490643777,1131297279,0.151343,0.145031,-0.00367800746682026,-2.43273,-523566064.1921997,-2.27516,152114046383.7052,152127246383.7052,0.0,0.731578,-79.79545,2021-05-08T05:08:23.458Z,8.69e-05,169987.07527,2015-05-06T00:00:00.000Z,0,2025-12-10T18:42:59.803Z,2025-12-10 15:43:42
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.466119,17099560344,11,20999881035,1020807024,0.481336,0.459577,-0.015216980850588313,-3.16141,-522078225.1614456,-2.96271,36642122600.96213,45000000000.0,45000000000.0,3.09,-84.87134,2021-09-02T06:00:10.474Z,0.01925275,2325.67027,2020-03-13T02:22:55.044Z,0,2025-12-10T18:42:58.832Z,2025-12-10 15:43:42
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.014,14322398846,12,14322398846,15644336,1.034,1.012,-0.02023940000000013,-1.95768,-251221981.09291077,-1.72381,14130114829.91,14130114829.91,0.0,1.37,-25.99257,2025-10-28T06:05:38.345Z,0.155357,552.43968,2025-10-31T14:27:24.456Z,0,2025-12-10T18:42:59.890Z,2025-12-10 15:43:42
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4157.97,13888092941,13,13888092941,68488398,4167.51,4019.85,35.22,0.85417,16638754.0,0.11995,3355245.808195365,3354846.606482423,0.0,7256.02,-43.39459,2022-05-13T15:09:54.509Z,558.54,635.36353,2022-05-13T01:36:45.053Z,0,2025-12-10T18:42:56.384Z,2025-12-10 15:43:42
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,63.38,13556274375,14,20291013662,111893091,63.36,61.36,0.660415,1.05305,90249434.0,0.6702,214372548.0,320872548.0,400000000.0,63.19,-0.15382,2025-12-10T18:02:15.067Z,3.06,1960.80765,2023-02-13T19:01:21.899Z,0,2025-12-10T18:43:06.734Z,2025-12-10 15:43:42
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3684.24,12044829593,15,12044829593,9229737,3713.32,3572.0,17.07,0.46546,77136896.0,0.64454,3264466.002690923,3264466.002690923,0.0,5330.78,-31.52339,2025-08-24T19:27:46.809Z,1501.6,143.09637,2025-04-09T03:57:40.245Z,0,2025-12-10T18:43:06.936Z,2025-12-10 15:43:42
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,92705.0,11546884891,16,11546884891,183758391,93986.0,91560.0,-1073.6480882534815,-1.14488,-185386162.639246,-1.58014,124963.48883569,124963.48883569,124963.48883569,125932.0,-26.17419,2025-10-06T18:55:19.650Z,3139.17,2861.61685,2019-04-02T00:00:00.000Z,0,2025-12-10T18:43:07.348Z,2025-12-10 15:43:42
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,573.77,11453351777,17,11453362533,440431991,587.94,560.8,-7.872467110649495,-1.3535,-151859499.38674736,-1.30855,19964946.77165078,19964965.52165078,21000000.0,3785.82,-84.84598,2017-12-20T00:00:00.000Z,76.93,645.70158,2018-12-16T00:00:00.000Z,0,2025-12-10T18:42:58.075Z,2025-12-10 15:43:42
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,14.43,10083767058,18,14470499370,640583866,14.77,13.99,-0.34051732235083243,-2.30508,-211589860.01682663,-2.0552,696849970.4525868,1000000000.0,1000000000.0,52.7,-72.52134,2021-05-10T00:13:57.214Z,0.148183,9671.90365,2017-11-29T00:00:00.000Z,0,2025-12-10T18:42:59.018Z,2025-12-10 15:43:42
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999848,9668335745,19,9669851782,2815056,1.0,0.998956,-0.000269551883042674,-0.02695,22122580.0,0.22934,9669378231.007113,9670894431.293808,0.0,1.057,-5.44157,2024-10-29T05:40:51.197Z,0.948265,5.4333,2024-10-03T13:19:28.826Z,0,2025-12-10T18:43:06.376Z,2025-12-10 15:43:42
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3419.27,9013777647,21,9019665716,343689596,3419.42,3290.76,43.39,1.2852,-95990916.65918922,-1.05371,2636712.279338879,2638434.658572403,0.0,4950.08,-31.34052,2025-08-24T19:28:11.411Z,82.1,4039.53223,2018-12-15T00:00:00.000Z,0,2025-12-10T18:43:07.374Z,2025-12-10 15:43:42
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,8984982677,20,8984982677,1410138802,1.001,0.99929,-0.000176510718907563,-0.01764,5409550.0,0.06024,8984992892.453934,8984992892.453934,0.0,1.05,-4.7586,2024-08-05T14:21:42.527Z,0.942186,6.13591,2024-12-05T22:30:39.827Z,0,2025-12-10T18:42:58.550Z,2025-12-10 15:43:42
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.47,8728437740,22,9327734757,816962,9.66,9.29,-0.18643776667622092,-1.93084,-158653676.09598732,-1.78521,921938915.9,985239504.0,0.0,10.14,-6.56687,2025-03-10T09:26:43.294Z,0.799859,1083.90213,2019-12-24T15:14:35.376Z,0,2025-12-10T18:43:01.658Z,2025-12-10 15:43:42
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3688.77,8665216954,23,8665216954,9029038,3697.64,3566.32,29.33,0.8015,12734450.0,0.14718,2362561.416861884,2643089.306800948,0.0,5296.78,-31.24595,2025-08-24T19:25:19.771Z,1505.24,141.93903,2025-04-09T03:45:31.391Z,0,2025-12-10T18:43:07.109Z,2025-12-10 15:43:42
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.253108,8188941018,24,12657211174,140184547,0.256522,0.24939,-0.003414622825314018,-1.33112,-110555257.82269192,-1.33207,32350071271.47302,50001786883.67145,0.0,0.875563,-71.10844,2018-01-03T00:00:00.000Z,0.00047612,53029.87796,2015-03-05T00:00:00.000Z,0,2025-12-10T18:43:05.396Z,2025-12-10 15:43:42
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,29.22,7921461099,25,29250168006,236353461,29.44,27.68,0.478425,1.66469,133039255.0,1.70817,270772999.4341414,999835210.4341414,1000000000.0,59.3,-51.26589,2025-09-18T03:30:30.650Z,3.81,658.81025,2024-11-29T09:30:30.871Z,0,2025-12-10T18:43:00.998Z,2025-12-10 15:43:42
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,403.87,7461114536,26,7461114536,184862297,409.55,378.98,23.12,6.072,452932173.0,6.46291,18446744.07370955,18446744.07370955,0.0,542.33,-25.42458,2018-01-09T00:00:00.000Z,0.216177,186988.42939,2015-01-14T00:00:00.000Z,0,2025-12-10T18:43:02.606Z,2025-12-10 15:43:42
